file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,True,,True,,
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,True,,True,,
12.txt,True,,True,,True,,True,,True,,True,,
10.txt,True,,True,,True,,True,,False,3,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,True,,True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,True,,True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,True,,True,,
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,True,,True,,
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,True,,True,,
